,Link,Name,Description,Actual_price,offer_price
100,/maybelline-new-york-sensational-liquid-matte-lipstick-01-to-the-fullest--7-g/p/4919005700_bestbabe,Maybelline New York,Sensational Liquid Matte Lipstick 01 To The Fullest - 7 g,₹309,₹247
101,/faces-canada-matte-addiction-lipstick--01-brazen-pink/p/4936523240_pink,Faces Canada,Matte Addiction Lipstick - 01 Brazen Pink,₹659,₹528
102,/blue-heaven-powder-matte-toffe-brown-n02/p/4919437880_toffeebrown,BLUE HEAVEN,Powder Matte -Toffe Brown N02,₹165,No Offer
103,/colorbar-starry-flip-lipstick-like-a-star-004-3-5-g-/p/4921666380_likeastar004,COLORBAR,Starry Flip Lipstick Like A Star 004 (3.5 g),"₹1,299","₹1,103"
104,/blue-heaven-powder-matte-scarlet-kiss-rm01/p/4919437880_scarletkiss,BLUE HEAVEN,Powder Matte -Scarlet Kiss RM01,₹165,No Offer
105,/sugar-cosmetics-smudge-me-not-liquid-lipstick--52-modern-auburn/p/4914047320_52modernauburn,Sugar Cosmetics,Smudge Me Not Liquid Lipstick - 52 Modern Auburn,₹499,No Offer
106,/colorbar-starry-flip-lipstick-out-and-about-006-3-5-g-/p/4921666380_outandabout006,COLORBAR,Starry Flip Lipstick Out And About 006 (3.5 g),"₹1,200","₹1,019"
107,/blue-heaven-powder-matte-merlot-rm06/p/4919437880_merlot,BLUE HEAVEN,Powder Matte -Merlot RM06,₹165,No Offer
108,/myglamm-lit-liquid-velvet-matte-lipstick--fake-id-3-ml-/p/4915255320_fakeid,MyGlamm,Lit Liquid Velvet Matte Lipstick - Fake Id (3 ml),₹395,₹335
109,/swiss-beauty-non-transfer-waterproof-lipstick--pink-sugar/p/4936362120_multi,Swiss Beauty,Non-Transfer Waterproof Lipstick - Pink Sugar,₹319,₹255
110,/lakme-forever-matte-liquid-lip-colour--coral-sense/p/4919544020_wineglow,LAKME,forever Matte Liquid Lip Colour - Coral Sense,₹279,₹223
111,/lakme-9-to5-primer--matte-liquid-lip-color-mp1/p/4928482980_everydaypink,LAKME,9 to5 Primer & Matte Liquid Lip Color- MP1,₹349,₹279
112,/charmacy-milano-stunning-longstay-liquid-lip--swagger-no-05/p/4924955210_swagger05,Charmacy Milano,Stunning Longstay Liquid Lip - Swagger No. 05,₹525,₹420
113,/colorbar-kiss-proof-dpg-liquid-lip-blush-crush-004/p/4913291400_blushcrush004,COLORBAR,Kiss Proof Dpg Liquid Lip- Blush Crush 004,₹950,₹807
114,/coloressence-matte-lipstick--kashmir-kesar/p/4929257710_brown,COLORESSENCE,Matte Lipstick - Kashmir Kesar,₹299,₹254
115,/blue-heaven-hyperstay-matte--wild-plum-07/p/4919437760_wildplum,BLUE HEAVEN,Hyperstay Matte - Wild Plum-07,₹135,No Offer
116,/miss-claire-soft-matte-lip-cream-no-13/p/4924930130_no13,Miss Claire,Soft Matte Lip Cream No 13,₹295,₹251
117,/faces-canada-matte-addiction-lipstick--08-vintage-red/p/4936523310_red,Faces Canada,Matte Addiction Lipstick - 08 Vintage Red,₹659,₹528
118,/revlon-colorstay-satin-ink-liquid-lip-color--mauvey-darling/p/4931114800_pink,REVLON,Colorstay Satin Ink Liquid Lip Color - Mauvey Darling,₹729,₹572
119,/maybelline-new-york-sensational-powder-matte-lipstick/p/4913379290_plumperfection,Maybelline New York,Sensational Powder Matte Lipstick,₹253,₹202
120,/myglamm-lit-liquid-velvet-matte-lipstick--ifly-3-ml-/p/4915255320_ifly,MyGlamm,Lit Liquid Velvet Matte Lipstick - Ifly (3 ml),₹395,₹335
121,/miss-claire-soft-matte-lip-cream-no-63/p/4924930130_no63,Miss Claire,Soft Matte Lip Cream No 63,₹295,₹251
122,/maybelline-new-york-681-vibrant-violet-sensational-creamy-matte-lipstick--3-9-g/p/4913558680_656claycrush,Maybelline New York,681 Vibrant Violet Sensational Creamy Matte Lipstick - 3.9 g,₹253,₹202
123,/miss-claire-soft-matte-lip-cream-no-61/p/4924930130_no61,Miss Claire,Soft Matte Lip Cream No 61,₹225,₹191
124,/swiss-beauty-non-transfer-matte-crayon-lipstick--plum-house/p/4936361750_multi,Swiss Beauty,Non-Transfer Matte Crayon Lipstick - Plum House,₹254,₹203
125,/lovechild-masaba-game-on-mad-matte-liquid-lipstick--05-hukum/p/4936540710_brown,LoveChild Masaba,Game On Mad-Matte Liquid Lipstick - 05 Hukum,₹900,₹764
126,/maybelline-new-york-color-show-intense-lip-crayon--intense-red/p/4919383250_intensered,Maybelline New York,Color Show Intense Lip Crayon - Intense Red,₹327,₹262
127,/insight-cosmetics-color-rich-lipstick--choco-break/p/4924943780_chocobreak,Insight Cosmetics,Color Rich Lipstick - Choco Break,₹149,₹119
128,/swiss-beauty-lip-stain-matte-lipstick--raspberry/p/4936359480_multi,Swiss Beauty,Lip Stain Matte Lipstick - Raspberry,₹254,₹203
129,/lakme-9-to5-primer--matte-liquid-lip-color-mb3/p/4928482980_strongespresso,LAKME,9 to5 Primer & Matte Liquid Lip Color- MB3,₹349,₹279
130,/miss-claire-mega-matte-lipstick-no-18/p/4924927410_no18,Miss Claire,Mega Matte Lipstick- No 18,₹250,₹212
